name,access,value,type,error
AcquisitionMode,Read / Write,Continuous,string,
DeviceManufacturerInfo,Read Only,,string,
DeviceModelName,Read Only,TV46L-1-26010002@9Hz,string,
DeviceSFNCVersionMajor,Read Only,2,int,
DeviceSFNCVersionMinor,Read Only,2,int,
DeviceSFNCVersionSubMinor,Read Only,0,int,
DeviceStreamChannelCount,Read Only,1,int,
DeviceType,Read / Write,Transmitter,string,
DeviceVendorName,Read Only,Fluke Process Instruments,string,
FLK_TI_CalibrationInfo,Read Only,0x016d69520200000003000000b0d000000000a0c10000a0420000b4c10000a542000020400000a040070000005f7089305f7089305f708930cd8c88c3000034c340704344cc0e134180bfdc3c000034c30000f0c2113f2e456dce34427c38403e0000f0c20000f0c100803b458a1261425e57a43e0000f0c10000000000803b4570105f427baac03e000000000000a042e2af2d45f4126f4216bbb83e0000a042000048430a3ca3c4f4c2c642189c873e000048430000af4300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a0c1000096440000b4c100509644000020400000a0400b0000005f7089305f7089305f708930cd8c88c3000034c3d54a8242ba13443f552a133b000034c30000f0c2175468433c137140a825803c0000f0c20000f0c100007a435c0c9640281fdb3c0000f0c10000000000007a43a0b59440a871003d000000000000a0422e956743f8619f40c84ef63c0000a0420000484362a5d9c2f881044120d0b43c000048430000af43ec0b94c45fe965415d805c3c0000af43008009440f743dc578d9a8410bb4ef3b0080094400004844b73db1c59ae9dc411daa583b0000484400409c44f8840fc60bc704422fed8e3a00409c44004003450000a0c100803b450000b4c100a83b45000020400000a0400b0000005f7089305f7089305f708930cd8c88c3000034c35a538942048b4e3f54f11a3b000034c30000f0c2ec066a43deb3704036ee7d3c0000f0c20000f0c100007a43b6df9240d8e6cf3c0000f0c10000000000007a4374199240cddaeb3c000000000000a0426ed161435a99a1407835d93c0000a042000048439acec0c2600d0341898d9a3c000048430000af43c35282c418df58417f92383c0000af4300800944e92c23c58a3a9a41e3fcc53b0080094400004844f63096c55e88c541b557313b0000484400409c44a846f0c5f72bea41f289683a00409c4400400345672dfe10,string,
FLK_TI_ControlFeature_CurrentFocusDistanceMm,Read Only,367,int,
FLK_TI_ControlFeature_FocusDistanceMm_Max,Read Only,1000000,int,
FLK_TI_ControlFeature_FocusDistanceMm_Min,Read Only,150,int,
FLK_TI_ControlFeature_REControlCmd,Read Only,FLK_TI_ControlFeature_REControlCmd_SelectCommandToExecute,string,
FLK_TI_ControlFeature_SetFocusDistanceMm,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter FLK_TI_ControlFeature_SetFocusDistanceMm is not (currently) readable.
(GetValueFromNode:23453)"
FLK_TI_ControlFeature_SetFrameRate,Read Only,9,int,
FLK_TI_InfoSelector,Read / Write,FLK_TI_FirmwareVersion,string,
FLK_TI_InfoString,Read Only,1.0.8,string,
FLK_TI_Info_CalibrationRangeInfoQuery,Read Only,FLK_TI_Info_CalibrationRangeInfoQuery_CalRange1,string,
FLK_TI_Info_CalibrationRangeInfo_RangeSpan_LowerBoundary,Read Only,-20.0,double,
FLK_TI_Info_CalibrationRangeInfo_RangeSpan_UpperBoundary,Read Only,80.0,double,
FLK_TI_Info_CriticalDeviceTemperatureC,Read Only,82.0,double,
FLK_TI_Info_CurrentDeviceTemperatureC,Read Only,41.900001525878906,double,
FLK_TI_Info_PlatformId,Read Only,256,int,
FLK_TI_Info_REDataProviderAvailable,Read Only,1,int,
FLK_TI_Info_REDataRate,Read Only,9,int,
FLK_TI_Info_REDataSize,Read Only,41943520,int,
FLK_TI_Info_RE_Capabilities0,Read Only,15,int,
FLK_TI_Info_RE_Platform_Id,Read Only,263,int,
FLK_TI_Info_RE_TPM_Validity_Code,Read Only,0,int,
FLK_TI_Info_SecuredDataStreamingOnly,Read Only,0,int,
FLK_TI_Info_VLDataProviderAvailable,Read Only,1,int,
FLK_TI_Info_VLDataSize,Read Only,41943520,int,
FLK_TI_StreamDataSourceSelector,Read / Write,VL_Data,string,
GevCurrentPhysicalLinkConfiguration,Read Only,SingleLink,string,
GevPrimaryApplicationIPAddress,Read Only,2852044881,int,
GevPrimaryApplicationSocket,Read Only,64085,int,
GevSupportedOption,Read Only,1,int,
GevSupportedOptionSelector,Read / Write,SingleLink,string,
Height,Read Only,480,int,
HeightMax,Read Only,480,int,
HeightMin,Read Only,480,int,
ImageCompressionMode,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Parameter ImageCompressionMode is not (currently) readable.
(GetValueFromNode:23453)"
PayloadSize,Read Only,1572864,int,
PixelFormat,Read Only,YUV422_8,string,
SensorHeight,Read Only,480,int,
SensorWidth,Read Only,640,int,
TransmitAs,Read / Write,GigE_Image_Payload,string,
Width,Read Only,640,int,
WidthMax,Read Only,640,int,
